Pilotos,Nacionalidade,Temporadas,Titulos,Participacao,Largadas,Pole_Positions,Vitorias,Podio,Volta_rapida,Pontos,Ano_titulo,Taxa_pole,Taxa_largadas,Taxa_Vitoria,Taxa_podio,Taxa_volta_rapida,Pontos_largadas,Campeao,Pilotos_1,Idade,Data_acidente,Corrida,Equipe,Evento
A. J. Foyt,United States                                                                                                                                                                                                                                                  ,"[1958, 1959, 1960]                                                                                                                                                                                                                                             ",0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,                                                                                                                                                                                                                                                               ,0.0,1.0,0.0,0.0,0.0,0.0,False,                                                                                                                                                                                                                                                               ,,                                                                                                                                                                                                                                                               ,                                                                                                                                                                                                                                                               ,                                                                                                                                                                                                                                                               ,                                                                                                                                                                                                                                                               
Adolf Brudes,West Germany                                                                                                                                                                                                                                                   ,[1952]                                                                                                                                                                                                                                                         ,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,                                                                                                                                                                                                                                                               ,0.0,1.0,0.0,0.0,0.0,0.0,False,                                                                                                                                                                                                                                                               ,,                                                                                                                                                                                                                                                               ,                                                                                                                                                                                                                                                               ,                                                                                                                                                                                                                                                               ,                                                                                                                                                                                                                                                               
Adolfo Schwelm Cruz,Argentina                                                                                                                                                                                                                                                      ,[1953]                                                                                                                                                                                                                                                         ,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,                                                                                                                                                                                                                                                               ,0.0,1.0,0.0,0.0,0.0,0.0,False,                                                                                                                                                                                                                                                               ,,                                                                                                                                                                                                                                                               ,                                                                                                                                                                                                                                                               ,                                                                                                                                                                                                                                                               ,                                                                                                                                                                                                                                                               
Adrian Sutil,Germany                                                                                                                                                                                                                                                        ,"[2007, 2008, 2009, 2010, 2011, 2013, 2014]                                                                                                                                                                                                                     ",0.0,128.0,128.0,0.0,0.0,0.0,1.0,124.0,                                                                                                                                                                                                                                                               ,0.0,1.0,0.0,0.0,0.01,0.97,False,                                                                                                                                                                                                                                                               ,,                                                                                                                                                                                                                                                               ,                                                                                                                                                                                                                                                               ,                                                                                                                                                                                                                                                               ,                                                                                                                                                                                                                                                               
Adrián Campos,Spain                                                                                                                                                                                                                                                          ,"[1987, 1988]                                                                                                                                                                                                                                                   ",0.0,21.0,17.0,0.0,0.0,0.0,0.0,0.0,                                                                                                                                                                                                                                                               ,0.0,0.81,0.0,0.0,0.0,0.0,False,                                                                                                                                                                                                                                                               ,,                                                                                                                                                                                                                                                               ,                                                                                                                                                                                                                                                               ,                                                                                                                                                                                                                                                               ,                                                                                                                                                                                                                                                               
Aguri Suzuki,Japan                                                                                                                                                                                                                                                          ,"[1988, 1989, 1990, 1991, 1992, 1993, 1994, 1995]                                                                                                                                                                                                               ",0.0,88.0,65.0,0.0,0.0,1.0,0.0,8.0,                                                                                                                                                                                                                                                               ,0.0,0.74,0.0,0.01,0.0,0.09,False,                                                                                                                                                                                                                                                               ,,                                                                                                                                                                                                                                                               ,                                                                                                                                                                                                                                                               ,                                                                                                                                                                                                                                                               ,                                                                                                                                                                                                                                                               
Al Herman,United States                                                                                                                                                                                                                                                  ,"[1955, 1956, 1957, 1959, 1960]                                                                                                                                                                                                                                 ",0.0,8.0,5.0,0.0,0.0,0.0,0.0,0.0,                                                                                                                                                                                                                                                               ,0.0,0.62,0.0,0.0,0.0,0.0,False,                                                                                                                                                                                                                                                               ,,                                                                                                                                                                                                                                                               ,                                                                                                                                                                                                                                                               ,                                                                                                                                                                                                                                                               ,                                                                                                                                                                                                                                                               
Al Keller,United States                                                                                                                                                                                                                                                  ,"[1955, 1956, 1957, 1958, 1959]                                                                                                                                                                                                                                 ",0.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,                                                                                                                                                                                                                                                               ,0.0,0.83,0.0,0.0,0.0,0.0,False,                                                                                                                                                                                                                                                               ,,                                                                                                                                                                                                                                                               ,                                                                                                                                                                                                                                                               ,                                                                                                                                                                                                                                                               ,                                                                                                                                                                                                                                                               
Al Pease,Canada                                                                                                                                                                                                                                                         ,"[1967, 1968, 1969]                                                                                                                                                                                                                                             ",0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,                                                                                                                                                                                                                                                               ,0.0,0.67,0.0,0.0,0.0,0.0,False,                                                                                                                                                                                                                                                               ,,                                                                                                                                                                                                                                                               ,                                                                                                                                                                                                                                                               ,                                                                                                                                                                                                                                                               ,                                                                                                                                                                                                                                                               
Alain de Changy,Belgium                                                                                                                                                                                                                                                        ,[1959]                                                                                                                                                                                                                                                         ,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,                                                                                                                                                                                                                                                               ,0.0,0.0,0.0,0.0,0.0,0.0,False,                                                                                                                                                                                                                                                               ,,                                                                                                                                                                                                                                                               ,                                                                                                                                                                                                                                                               ,                                                                                                                                                                                                                                                               ,                                                                                                                                                                                                                                                               
