Pilotos,Nacionalidade,Temporadas,Titulos,Participacao,Largadas,Pole_Positions,Vitorias,Podio,Volta_rapida,Pontos,Ano_titulo,Taxa_pole,Taxa_largadas,Taxa_Vitoria,Taxa_podio,Taxa_volta_rapida,Pontos_largadas,Campeao,Pilotos_1,Idade,Data_acidente,Corrida,Equipe,Evento,Circuito,Nacionalidade_pt
Alan Stacey,United Kingdom,"[1958, 1959, 1960]",0,7,7,0,0,0,0,0,                                                                                                                                                                                                                                                               ,0.0,1.0,0.0,0.0,0.0,0.0,False,Alan Stacey                                                                                                                                                                                                                                                    ,26,06/19/60                                                                                                                                                                                                                                                       ,Belgian Grand Prix,Lotus,Corrida,Belgian Grand Prix,Reino Unido
Ayrton Senna,Brazil,"[1984, 1985, 1986, 1987, 1988, 1989, 1990, 1991, 1992, 1993, 1994]",3,162,161,65,41,80,19,610,"[1988, 1990, 1991]                                                                                                                                                                                                                                             ",0.4,0.99,0.25,0.49,0.12,3.77,True,Ayrton Senna                                                                                                                                                                                                                                                   ,34,05/01/94                                                                                                                                                                                                                                                       ,San Marino Grand Prix,Williams,Corrida,San Marino Grand Prix,Brasil
Bill Vukovich,United States,"[1951, 1952, 1953, 1954, 1955]",0,6,5,1,2,2,3,19,                                                                                                                                                                                                                                                               ,0.17,0.83,0.33,0.33,0.5,3.17,False,Bill Vukovich                                                                                                                                                                                                                                                  ,36,05/30/55                                                                                                                                                                                                                                                       ,Indianapolis 500,Kurtis Kraft,Corrida,Indianapolis 500,Estados Unidos
Bob Anderson,United Kingdom,"[1963, 1964, 1965, 1966, 1967]",0,29,25,0,0,1,0,8,                                                                                                                                                                                                                                                               ,0.0,0.86,0.0,0.03,0.0,0.28,False,Bob Anderson                                                                                                                                                                                                                                                   ,36,08/14/67                                                                                                                                                                                                                                                       ,N/A,Brabham,Teste,,Reino Unido
Nan,,,0,0,0,0,0,0,0,0,                                                                                                                                                                                                                                                               ,,,,,,,,Bob Cortner                                                                                                                                                                                                                                                    ,32,05/19/59                                                                                                                                                                                                                                                       ,Indianapolis 500,Cornis,Teste pré-corrida,Indianapolis 500,
Brian Mcguire,Australia,[1977],0,2,0,0,0,0,0,0,                                                                                                                                                                                                                                                               ,0.0,0.0,0.0,0.0,0.0,0.0,False,Brian McGuire                                                                                                                                                                                                                                                  ,31,08/29/77                                                                                                                                                                                                                                                       ,Shellsport Championship,McGuire,Treino livre,Shellsport Championship,Austrália
Nan,,,0,0,0,0,0,0,0,0,                                                                                                                                                                                                                                                               ,,,,,,,,Cameron Earl                                                                                                                                                                                                                                                   ,29,06/18/52                                                                                                                                                                                                                                                       ,N/A,ERA,Teste,,
Carel Godin De Beaufort,Netherlands,"[1957, 1958, 1959, 1960, 1961, 1962, 1963, 1964]",0,31,28,0,0,0,0,4,                                                                                                                                                                                                                                                               ,0.0,0.9,0.0,0.0,0.0,0.13,False,Carel Godin de Beaufort                                                                                                                                                                                                                                        ,30,08/02/64                                                                                                                                                                                                                                                       ,German Grand Prix,Porsche,Treino livre,German Grand Prix,Países Baixos
Charles De Tornaco,Belgium,"[1952, 1953]",0,4,2,0,0,0,0,0,                                                                                                                                                                                                                                                               ,0.0,0.5,0.0,0.0,0.0,0.0,False,Charles de Tornaco                                                                                                                                                                                                                                             ,26,09/18/53                                                                                                                                                                                                                                                       ,Modena Grand Prix,Ferrari,Treino livre,Modena Grand Prix,Bélgica
Chet Miller,United States,"[1951, 1952]",0,4,2,0,0,0,0,0,                                                                                                                                                                                                                                                               ,0.0,0.5,0.0,0.0,0.0,0.0,False,Chet Miller                                                                                                                                                                                                                                                    ,50,05/15/53                                                                                                                                                                                                                                                       ,Indianapolis 500,Kurtis Kraft,Treino livre,Indianapolis 500,Estados Unidos
Chris Bristow,United Kingdom,"[1959, 1960]",0,4,4,0,0,0,0,0,                                                                                                                                                                                                                                                               ,0.0,1.0,0.0,0.0,0.0,0.0,False,Chris Bristow                                                                                                                                                                                                                                                  ,22,06/19/60                                                                                                                                                                                                                                                       ,Belgian Grand Prix,Cooper,Corrida,Belgian Grand Prix,Reino Unido
Elio De Angelis,Italy,"[1979, 1980, 1981, 1982, 1983, 1984, 1985, 1986]",0,109,108,3,2,9,0,122,                                                                                                                                                                                                                                                               ,0.03,0.99,0.02,0.08,0.0,1.12,False,Elio de Angelis                                                                                                                                                                                                                                                ,28,05/15/86                                                                                                                                                                                                                                                       ,N/A,Brabham,Teste,,Itália
Eugenio Castellotti,Italy,"[1955, 1956, 1957]",0,14,14,1,0,3,0,20,                                                                                                                                                                                                                                                               ,0.07,1.0,0.0,0.21,0.0,1.39,False,Eugenio Castellotti                                                                                                                                                                                                                                            ,26,03/14/57                                                                                                                                                                                                                                                       ,N/A,Ferrari,Teste,,Itália
François Cevert,France,"[1970, 1971, 1972, 1973]",0,47,46,0,1,13,2,89,                                                                                                                                                                                                                                                               ,0.0,0.98,0.02,0.28,0.04,1.89,False,François Cevert                                                                                                                                                                                                                                                ,29,10/06/73                                                                                                                                                                                                                                                       ,United States Grand Prix,Tyrrell,Classificação,United States Grand Prix,França
Nan,,,0,0,0,0,0,0,0,0,                                                                                                                                                                                                                                                               ,,,,,,,,Fritz Glatz                                                                                                                                                                                                                                                    ,58,07/14/02                                                                                                                                                                                                                                                       ,EuroBOSS Series Season,Footwork,Corrida,Euroboss Series Season,
Gary Hocking,Rhodesia And Nyasaland,[1962],0,1,0,0,0,0,0,0,                                                                                                                                                                                                                                                               ,0.0,0.0,0.0,0.0,0.0,0.0,False,Gary Hocking                                                                                                                                                                                                                                                   ,25,12/21/62                                                                                                                                                                                                                                                       ,Natal Grand Prix,Lotus,Treino livre,Natal Grand Prix,Rodésia e Niassalândia
Gerhard Mitter,West Germany,"[1963, 1964, 1965]",0,7,5,0,0,0,0,3,                                                                                                                                                                                                                                                               ,0.0,0.71,0.0,0.0,0.0,0.43,False,Gerhard Mitter                                                                                                                                                                                                                                                 ,33,08/02/69                                                                                                                                                                                                                                                       ,German Grand Prix,BMW,Treino livre,German Grand Prix,Alemanha Ocidental
Gilles Villeneuve,Canada,"[1977, 1978, 1979, 1980, 1981, 1982]",0,68,67,2,6,13,8,101,                                                                                                                                                                                                                                                               ,0.03,0.99,0.09,0.19,0.12,1.49,False,Gilles Villeneuve                                                                                                                                                                                                                                              ,32,05/08/82                                                                                                                                                                                                                                                       ,Belgian Grand Prix,Ferrari,Classificação,Belgian Grand Prix,Canadá
Giulio Cabianca,Italy,"[1958, 1959, 1960]",0,4,3,0,0,0,0,3,                                                                                                                                                                                                                                                               ,0.0,0.75,0.0,0.0,0.0,0.75,False,Giulio Cabianca                                                                                                                                                                                                                                                ,38,06/15/61                                                                                                                                                                                                                                                       ,N/A,Cooper,Teste,,Itália
Harry Schell,United States,"[1950, 1951, 1952, 1953, 1954, 1955, 1956, 1957, 1958, 1959, 1960]",0,57,56,0,0,2,0,32,                                                                                                                                                                                                                                                               ,0.0,0.98,0.0,0.04,0.0,0.56,False,Harry Schell                                                                                                                                                                                                                                                   ,38,05/13/60                                                                                                                                                                                                                                                       ,BRDC International Trophy,Cooper,Treino livre,Brdc International Trophy,Estados Unidos
Helmuth Koinigg,Austria,[1974],0,3,2,0,0,0,0,0,                                                                                                                                                                                                                                                               ,0.0,0.67,0.0,0.0,0.0,0.0,False,Helmuth Koinigg                                                                                                                                                                                                                                                ,25,10/06/74                                                                                                                                                                                                                                                       ,United States Grand Prix,Surtees,Corrida,United States Grand Prix,Áustria
Jerry Unser Jr.,United States,[1958],0,1,1,0,0,0,0,0,                                                                                                                                                                                                                                                               ,0.0,1.0,0.0,0.0,0.0,0.0,False,Jerry Unser Jr.                                                                                                                                                                                                                                                ,26,05/17/59                                                                                                                                                                                                                                                       ,Indianapolis 500,Kurtis Kraft,Teste pré-corrida,Indianapolis 500,Estados Unidos
Jo Schlesser,France,[1968],0,3,3,0,0,0,0,0,                                                                                                                                                                                                                                                               ,0.0,1.0,0.0,0.0,0.0,0.0,False,Jo Schlesser                                                                                                                                                                                                                                                   ,40,07/07/68                                                                                                                                                                                                                                                       ,French Grand Prix,Honda,Corrida,French Grand Prix,França
Jo Siffert,Switzerland,"[1962, 1963, 1964, 1965, 1966, 1967, 1968, 1969, 1970, 1971]",0,100,96,2,2,6,4,68,                                                                                                                                                                                                                                                               ,0.02,0.96,0.02,0.06,0.04,0.68,False,Jo Siffert                                                                                                                                                                                                                                                     ,35,10/24/71                                                                                                                                                                                                                                                       ,World Championship Victory Race,BRM,Corrida,World Championship Victory Race,Suíça
Jochen Rindt,Austria,"[1964, 1965, 1966, 1967, 1968, 1969, 1970]",1,62,60,10,6,13,3,107,[1970]                                                                                                                                                                                                                                                         ,0.16,0.97,0.1,0.21,0.05,1.73,True,Jochen Rindt                                                                                                                                                                                                                                                   ,28,09/05/70                                                                                                                                                                                                                                                       ,Italian Grand Prix,Lotus,Classificação,Italian Grand Prix,Áustria
Nan,,,0,0,0,0,0,0,0,0,                                                                                                                                                                                                                                                               ,,,,,,,,John Dawson-Damer                                                                                                                                                                                                                                              ,59,06/24/00                                                                                                                                                                                                                                                       ,Goodwood Festival of Speed,Lotus,Demonstração,Goodwood Festival Of Speed,
John Taylor,United Kingdom,"[1964, 1966]",0,5,5,0,0,0,0,1,                                                                                                                                                                                                                                                               ,0.0,1.0,0.0,0.0,0.0,0.2,False,John Taylor                                                                                                                                                                                                                                                    ,33,08/07/66                                                                                                                                                                                                                                                       ,German Grand Prix,Brabham,Corrida,German Grand Prix,Reino Unido
Jules Bianchi,France,"[2013, 2014]",0,34,34,0,0,0,0,2,                                                                                                                                                                                                                                                               ,0.0,1.0,0.0,0.0,0.0,0.06,False,Jules Bianchi                                                                                                                                                                                                                                                  ,25,10/05/14                                                                                                                                                                                                                                                       ,Japanese Grand Prix,Marussia,Corrida,Japanese Grand Prix,França
Keith Andrews,United States,"[1955, 1956]",0,3,2,0,0,0,0,0,                                                                                                                                                                                                                                                               ,0.0,0.67,0.0,0.0,0.0,0.0,False,Keith Andrews                                                                                                                                                                                                                                                  ,36,05/15/57                                                                                                                                                                                                                                                       ,Indianapolis 500,Kurtis Kraft,Treino livre,Indianapolis 500,Estados Unidos
Lorenzo Bandini,Italy,"[1961, 1962, 1963, 1964, 1965, 1966, 1967]",0,42,42,1,1,8,2,58,                                                                                                                                                                                                                                                               ,0.02,1.0,0.02,0.19,0.05,1.38,False,Lorenzo Bandini                                                                                                                                                                                                                                                ,31,05/07/67                                                                                                                                                                                                                                                       ,Monaco Grand Prix,Ferrari,Corrida,Monaco Grand Prix,Itália
Luigi Musso,Italy,"[1953, 1954, 1955, 1956, 1957, 1958]",0,25,24,0,1,7,1,44,                                                                                                                                                                                                                                                               ,0.0,0.96,0.04,0.28,0.04,1.76,False,Luigi Musso                                                                                                                                                                                                                                                    ,33,07/06/58                                                                                                                                                                                                                                                       ,French Grand Prix,Ferrari,Corrida,French Grand Prix,Itália
Manny Ayulo,United States,"[1951, 1952, 1953, 1954]",0,6,4,0,0,1,0,2,                                                                                                                                                                                                                                                               ,0.0,0.67,0.0,0.17,0.0,0.33,False,Manny Ayulo                                                                                                                                                                                                                                                    ,33,05/16/55                                                                                                                                                                                                                                                       ,Indianapolis 500,Kuzma,Treino livre,Indianapolis 500,Estados Unidos
Nan,,,0,0,0,0,0,0,0,0,                                                                                                                                                                                                                                                               ,,,,,,,,Maria de Villota                                                                                                                                                                                                                                               ,33,07/03/12                                                                                                                                                                                                                                                       ,N/A,Marussia,Teste,,
Nan,,,0,0,0,0,0,0,0,0,                                                                                                                                                                                                                                                               ,,,,,,,,Mario Alborghetti                                                                                                                                                                                                                                              ,26,04/11/55                                                                                                                                                                                                                                                       ,Pau Grand Prix,Maserati,Corrida,Pau Grand Prix,
Mark Donohue,United States,"[1971, 1974, 1975]",0,16,14,0,0,1,0,8,                                                                                                                                                                                                                                                               ,0.0,0.88,0.0,0.06,0.0,0.5,False,Mark Donohue                                                                                                                                                                                                                                                   ,38,08/19/75                                                                                                                                                                                                                                                       ,Austrian Grand Prix,Penske,Treino livre,Austrian Grand Prix,Estados Unidos
Nan,,,0,0,0,0,0,0,0,0,                                                                                                                                                                                                                                                               ,,,,,,,,Martin Brain                                                                                                                                                                                                                                                   ,                                                                                                                                                                                                                                                               ,05/25/70                                                                                                                                                                                                                                                       ,Nottingham Sportscar Club Meeting,Cooper,Corrida,Nottingham Sportscar Club Meeting,
Onofre Marimón,Argentina,"[1951, 1953, 1954]",0,12,11,0,0,2,1,8,                                                                                                                                                                                                                                                               ,0.0,0.92,0.0,0.17,0.08,0.68,False,Onofre Marimón                                                                                                                                                                                                                                                 ,30,07/31/54                                                                                                                                                                                                                                                       ,German Grand Prix,Maserati,Treino livre,German Grand Prix,Argentina
Pat O'Connor,United States,"[1954, 1955, 1956, 1957, 1958]",0,6,5,1,0,0,0,0,                                                                                                                                                                                                                                                               ,0.17,0.83,0.0,0.0,0.0,0.0,False,Pat O'Connor                                                                                                                                                                                                                                                   ,29,05/30/58                                                                                                                                                                                                                                                       ,Indianapolis 500,Kurtis Kraft,Corrida,Indianapolis 500,Estados Unidos
